Operator,Opref,Sitengr,Antennaht,Transtype,Freqband,Powerdbw,Maxpwrdbw,Maxpwrdbm,Sitelat,Sitelng
Orange,GLN0084,TQ1320075250,43,GSM,1800,31,32,,51.464398,-0.370239
Orange,GLN0084,TQ1320075250,43,UMTS,2100,29.9,,65,51.464398,-0.370239
Orange,GLN0085,TQ2373081990,28.2,GSM,1800,30.2,32,,51.522774,-0.216349
Orange,GLN0085,TQ2373081990,28.2,UMTS,2100,30,,65,51.522774,-0.216349
Orange,GLN0091,TQ2285084900,21.3,GSM,1800,28.7,32,,51.549122,-0.228013
Orange,GLN0091,TQ2285084900,21.3,UMTS,2100,28.5,,65,51.549122,-0.228013
Orange,GLN0094,TQ1933091450,31,GSM,1800,31.4,32,,51.608751,-0.276534
Orange,GLN0094,TQ1933091450,31,UMTS,2100,29.9,,65,51.608751,-0.276534
Orange,GLN0095,TQ2304086720,20.9,GSM,1800,29.2,32,,51.565439,-0.224637
Orange,GLN0096,TQ2511090550,30,GSM,1800,30.9,32,,51.599407,-0.193419
Orange,GLN0096,TQ2511090550,30,UMTS,2100,29.9,,65,51.599407,-0.193419
Orange,GLN0097,TQ2549087550,37.5,GSM,1800,29.8,32,,51.572359,-0.189008
Orange,GLN0098,TQ2639091960,33,GSM,1800,31.8,32,,51.611794,-0.174438
Orange,GLN0098,TQ2639091960,33,UMTS,2100,30.3,,65,51.611794,-0.174438
Orange,GLN0099,TQ1770094400,14,GSM,1800,25.6,32,,51.63561,-0.299073
Orange,GLN0099,TQ1770094400,14,UMTS,2100,28.6,,65,51.63561,-0.299073
Orange,GLN0101,TQ0567084250,38,GSM,1800,29.3,32,,51.546759,-0.47591
Orange,GLN0103,TQ1368088650,15,GSM,1800,27.2,32,,51.584752,-0.359007
Orange,GLN0103,TQ1368088650,15,UMTS,2100,29,,65,51.584752,-0.359007
Orange,GLN0105,TQ2465096600,33,GSM,1800,26,32,,51.653886,-0.197904
Orange,GLN0105,TQ2465096600,33,UMTS,2100,28.1,,65,51.653886,-0.197904
Orange,GLN0107,TQ3122090850,42,GSM,1800,30.7,32,,51.600713,-0.10513
Orange,GLN0107,TQ3122090850,42,UMTS,2100,29.9,,65,51.600713,-0.10513
Orange,GLN0110,TQ3590092200,29.4,GSM,1800,31.3,32,,51.611735,-0.037067
Orange,GLN0110,TQ3590092200,29.4,UMTS,2100,30.3,,65,51.611735,-0.037067
Orange,GLN0111,TQ5450092700,14.3,GSM,1800,25,32,,51.611431,0.231605
Orange,GLN0111,TQ5450092700,14.3,UMTS,2100,27.3,,65,51.611431,0.231605
Orange,GLN0119,TQ2797078340,32,GSM,1800,29.2,32,,51.489024,-0.156585
Orange,GLN0120,TQ2789079690,66.3,GSM,1800,31.1,32,,51.501175,-0.157247
Orange,GLN0120,TQ2789079690,66.3,UMTS,2100,29.2,,65,51.501175,-0.157247
Orange,GLN0122,TQ2760081800,22.9,GSM,1800,29.6,32,,51.520205,-0.16066
Orange,GLN0122,TQ2760081800,22.9,UMTS,2100,29.9,,65,51.520205,-0.16066
Orange,GLN0123,TQ3148081490,39,GSM,1800,30.9,32,,51.516529,-0.104878
Orange,GLN0123,TQ3148081490,39,UMTS,2100,29.3,,65,51.516529,-0.104878
